algorithm,execution_time,success,board,N
backtracking,0.0005061626434326172,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.009043693542480469,True,"[1, 6, 4, 7, 0, 3, 5, 2]",8,100,1000,0.5
genetic,0.05928993225097656,True,"[2, 5, 3, 0, 7, 4, 6, 1]",8,100,1000,0.5
simulated_annealing,0.004464864730834961,False,"[6, 2, 7, 2, 4, 7, 1, 3]",8
ant_colony,0.06005740165710449,True,"[3, 7, 4, 2, 0, 6, 1, 5]",8,100,1000,1,2,0.01,100.0
neural_network,4.875445127487183,False,"[4, 0, 2, 6, 4, 0, 7, 3]",8,16,10000
simulated_annealing,0.0023818016052246094,False,"[5, 0, 4, 3, 7, 2, 4, 1]",8
genetic,0.045761823654174805,True,"[5, 2, 6, 1, 7, 4, 0, 3]",8,100,1000,0.5
backtracking,0.004610776901245117,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
ant_colony,0.059072256088256836,True,"[6, 2, 0, 5, 7, 4, 1, 3]",8,100,1000,1,2,0.01,100.0
simulated_annealing,0.005304813385009766,False,"[7, 4, 1, 3, 6, 6, 2, 5]",8
genetic,0.08182716369628906,True,"[7, 2, 0, 5, 1, 4, 6, 3]",8,100,1000,0.5
simulated_annealing,0.003223419189453125,False,"[0, 3, 7, 4, 2, 0, 5, 6]",8
simulated_annealing,0.0025577545166015625,False,"[5, 1, 6, 0, 7, 3, 7, 2]",8
simulated_annealing,0.003945589065551758,False,"[7, 0, 2, 3, 1, 6, 2, 5]",8
genetic,0.1212165355682373,True,"[4, 2, 0, 5, 7, 1, 3, 6]",8,100,1000,0.5
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
ant_colony,0.04508471488952637,True,"[4, 6, 1, 5, 2, 0, 7, 3]",8,100,1000,1,2,0.01,100.0
genetic,0.021413087844848633,True,"[2, 5, 7, 1, 3, 0, 6, 4]",8,100,1000,0.5
simulated_annealing,0.002846240997314453,False,"[6, 3, 0, 2, 7, 5, 7, 1]",8
neural_network,12.047370195388794,False,"[4, 4, 5, 5, 3, 5, 3, 3]",8,16,10000
ant_colony,1.2221193313598633,True,"[4, 8, 5, 0, 10, 7, 2, 6, 3, 1, 11, 9]",12,100,1000,1,2,0.01,100.0
ant_colony,71.68288803100586,True,"[0, 14, 11, 6, 16, 2, 10, 12, 3, 5, 8, 1, 13, 4, 7, 9, 15]",17,100,1000,1,2,0.01,100.0
ant_colony,267.95758605003357,True,"[15, 7, 5, 8, 13, 9, 4, 2, 10, 16, 3, 11, 0, 14, 6, 1, 12]",17,100,1000,1,2,0.01,100.0
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[7, 3, 1, 4, 6, 0, 5, 2]",8
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[2, 6, 3, 7, 4, 5, 0, 1]",8
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[1, 2, 7, 5, 4, 0, 3, 6]",8
simulated_annealing,0.001934051513671875,"(100.0, 0.1, 0.9, False)","[3, 4, 6, 1, 2, 5, 7, 0]",8
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[0, 3, 1, 6, 2, 5, 4, 7]",8
simulated_annealing,0.0032265186309814453,"(100.0, 0.1, 0.9, False)","[0, 1, 2, 3, 6, 4, 5, 7]",8
simulated_annealing,0.0018770694732666016,"(100.0, 0.1, 0.9, False)","[5, 2, 3, 7, 1, 4, 6, 0]",8
simulated_annealing,0.0020585060119628906,"(100.0, 0.1, 0.9, False)","[1, 0, 5, 6, 3, 4, 7, 2]",8
simulated_annealing,0.0015087127685546875,"(100.0, 0.1, 0.9, False)","[1, 3, 5, 7, 2, 0, 4, 6]",8
simulated_annealing,0.0005800724029541016,"(100.0, 0.1, 0.9, False)","[0, 1, 2, 3, 5, 7, 6, 4]",8
simulated_annealing,0.0010845661163330078,"(100.0, 0.1, 0.9, False)","[3, 5, 6, 7, 2, 1, 4, 0]",8
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[1, 0, 2, 4, 6, 5, 7, 3]",8
simulated_annealing,0.001005411148071289,"(100.0, 0.1, 0.9, False)","[4, 2, 3, 7, 6, 5, 1, 0]",8
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[3, 4, 5, 6, 1, 2, 0, 7]",8
neural_network,12.319964408874512,False,"[6, 1, 2, 3, 3, 2, 4, 4]",8,16,10000
backtracking,0.0007495880126953125,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.07936882972717285,True,"[1, 6, 4, 7, 0, 3, 5, 2]",8,100,1000,0.5
ant_colony,0.058988332748413086,True,"[4, 7, 3, 0, 2, 5, 1, 6]",8,100,1000,1,2,0.01,100.0
backtracking,0.0015075206756591797,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.014860391616821289,True,"[2, 5, 1, 4, 7, 0, 6, 3]",8,100,1000,0.5
ant_colony,0.06355810165405273,True,"[4, 6, 3, 0, 2, 7, 5, 1]",8,100,1000,1,2,0.01,100.0
genetic,0.021759986877441406,True,"[4, 6, 1, 5, 2, 0, 7, 3]",8,100,1000,0.5
ant_colony,0.055001020431518555,True,"[0, 5, 7, 2, 6, 3, 1, 4]",8,100,1000,1,2,0.01,100.0
genetic,0.030026674270629883,True,"[2, 7, 3, 6, 0, 5, 1, 4]",8,100,1000,0.5
ant_colony,0.04703211784362793,True,"[2, 5, 7, 0, 4, 6, 1, 3]",8,100,1000,1,2,0.01,100.0
genetic,0.16585302352905273,True,"[4, 0, 3, 5, 7, 1, 6, 2]",8,100,1000,0.5
genetic,0.05008864402770996,True,"[3, 1, 7, 5, 0, 2, 4, 6]",8,100,1000,0.5
ant_colony,0.0565943717956543,True,"[5, 2, 6, 3, 0, 7, 1, 4]",8,100,1000,1,2,0.01,100.0
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
ant_colony,0.0326383113861084,True,"[5, 3, 0, 4, 7, 1, 6, 2]",8,100,1000,1,2,0.01,100.0
ant_colony,39.71624994277954,True,"[2, 13, 6, 9, 5, 1, 14, 12, 3, 8, 0, 11, 4, 10, 7]",15,100,1000,1,2,0.01,100.0
genetic,0.6049232482910156,True,"[3, 7, 4, 2, 0, 6, 1, 5]",8,100,1000,0.5
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
ant_colony,0.3150210380554199,True,"[3, 1, 4, 7, 5, 0, 2, 6]",8,100,1000,1,2,0.01,100.0
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[6, 3, 5, 7, 2, 0, 4, 1]",8
neural_network,144.9750587940216,False,"[3, 13, 4, 2, 1, 3, 13, 4, 12, 7, 9, 7, 10, 2, 6]",15,16,10000
neural_network,49.75648880004883,False,"[1, 7, 6, 1, 0, 1, 0, 4]",8,16,10000
ant_colony,760.1809842586517,True,"[19, 11, 4, 18, 13, 0, 10, 1, 16, 9, 17, 3, 8, 2, 12, 14, 7, 5, 15, 6]",20,100,1000,1,2,0.01,100.0
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[3, 4, 6, 0, 5, 7, 2, 1]",8
simulated_annealing,0.0018978118896484375,"(100.0, 0.1, 0.9, False)","[1, 2, 5, 7, 4, 3, 0, 6]",8
simulated_annealing,0.0,"(100.0, 0.1, 0.9, False)","[1, 2, 6, 7, 3, 0, 5, 4]",8
simulated_annealing,0.003701925277709961,"(100.0, 0.1, 0.9, False)","[3, 0, 2, 1, 5, 7, 4, 6]",8
simulated_annealing,0.002259492874145508,"(1000.0, 0.1, 0.9, False)","[3, 5, 6, 7, 2, 1, 0, 4]",8
simulated_annealing,0.0022766590118408203,"(1000.0, 0.1, 0.9, False)","[0, 5, 6, 7, 4, 1, 2, 3]",8
simulated_annealing,0.0,"(1000.0, 0.1, 0.9, False)","[1, 7, 0, 2, 3, 4, 5, 6]",8
simulated_annealing,0.006457805633544922,"(1000.0, 0.1, 0.9, False)","[5, 0, 1, 2, 6, 3, 4, 7]",8
simulated_annealing,0.004186868667602539,"(1000.0, 0.1, 0.9, False)","[3, 1, 5, 4, 7, 6, 0, 2]",8
simulated_annealing,0.0014748573303222656,"(1.0, 0.1, 0.9, False)","[0, 7, 1, 6, 3, 5, 4, 2]",8
simulated_annealing,0.0,"(1.0, 0.1, 0.9, False)","[0, 3, 5, 6, 2, 7, 4, 1]",8
simulated_annealing,0.0005033016204833984,"(1.0, 0.1, 0.9, False)","[1, 3, 4, 6, 5, 7, 2, 0]",8
simulated_annealing,0.0020759105682373047,"(1.0, 0.1, 0.9, False)","[5, 0, 1, 3, 6, 2, 7, 4]",8
simulated_annealing,0.0011589527130126953,"(1.0, 0.1, 0.9, False)","[1, 2, 5, 4, 3, 7, 0, 6]",8
simulated_annealing,0.0,"(1.0, 0.1, 0.9, False)","[0, 3, 1, 4, 7, 5, 6, 2]",8
simulated_annealing,0.002547025680541992,"(10.0, 0.001, 0.9, False)","[3, 4, 5, 2, 1, 0, 6, 7]",8
simulated_annealing,0.004486799240112305,"(10.0, 0.001, 0.9, False)","[1, 6, 5, 2, 7, 3, 0, 4]",8
simulated_annealing,0.0019812583923339844,"(10.0, 0.001, 0.9, False)","[1, 3, 6, 4, 7, 2, 0, 5]",8
simulated_annealing,0.0,"(10.0, 0.001, 0.9, False)","[3, 5, 2, 6, 4, 7, 0, 1]",8
simulated_annealing,0.004530668258666992,"(10.0, 0.001, 0.9, False)","[4, 7, 6, 5, 1, 0, 3, 2]",8
simulated_annealing,0.0067255496978759766,"(10.0, 0.001, 0.9, False)","[2, 3, 6, 4, 5, 0, 7, 1]",8
simulated_annealing,0.003170013427734375,"(10.0, 0.001, 0.9, False)","[4, 1, 0, 3, 7, 5, 6, 2]",8
simulated_annealing,0.003025054931640625,"(10.0, 0.001, 0.9, False)","[4, 7, 0, 6, 5, 3, 2, 1]",8
simulated_annealing,0.0016436576843261719,"(10.0, 0.001, 0.9, False)","[0, 1, 2, 3, 4, 6, 7, 5]",8
simulated_annealing,0.002819538116455078,"(10.0, 0.1, 0.9, False)","[0, 2, 5, 1, 4, 7, 6, 3]",8
simulated_annealing,0.0032510757446289062,"(10.0, 0.1, 0.9, False)","[3, 1, 4, 0, 6, 7, 2, 5]",8
simulated_annealing,0.0015113353729248047,"(10.0, 0.1, 0.9, False)","[2, 3, 7, 4, 1, 5, 0, 6]",8
simulated_annealing,0.0023632049560546875,"(10.0, 0.1, 0.9, False)","[5, 1, 2, 0, 4, 7, 6, 3]",8
simulated_annealing,0.0005838871002197266,"(10.0, 0.1, 0.9, False)","[2, 0, 6, 1, 3, 7, 4, 5]",8
simulated_annealing,0.002094745635986328,"(10.0, 0.1, 0.9, False)","[6, 0, 1, 2, 3, 7, 4, 5]",8
simulated_annealing,0.02326035499572754,"(100.0, 0.01, 0.99, False)","[0, 7, 1, 2, 3, 6, 5, 4]",8
simulated_annealing,0.02125382423400879,"(100.0, 0.01, 0.99, False)","[0, 1, 6, 3, 4, 2, 5, 7]",8
simulated_annealing,0.025910615921020508,"(100.0, 0.01, 0.99, False)","[0, 4, 2, 3, 7, 5, 1, 6]",8
simulated_annealing,0.024737834930419922,"(100.0, 0.01, 0.99, False)","[0, 2, 5, 4, 6, 7, 3, 1]",8
simulated_annealing,0.02590632438659668,"(100.0, 0.01, 0.99, False)","[0, 3, 5, 4, 7, 2, 1, 6]",8
simulated_annealing,0.02214193344116211,"(100.0, 0.01, 0.99, False)","[1, 4, 6, 3, 5, 7, 0, 2]",8
simulated_annealing,0.02961444854736328,"(100.0, 0.01, 0.99, False)","[2, 7, 3, 6, 5, 0, 1, 4]",8
simulated_annealing,0.03105783462524414,"(100.0, 0.01, 0.99, False)","[0, 3, 7, 5, 6, 4, 2, 1]",8
simulated_annealing,0.02259063720703125,"(100.0, 0.01, 0.99, False)","[0, 2, 4, 3, 1, 7, 5, 6]",8
simulated_annealing,0.025477886199951172,"(100.0, 0.01, 0.99, False)","[0, 3, 2, 5, 6, 7, 1, 4]",8
simulated_annealing,0.026575803756713867,"(100.0, 0.01, 0.99, False)","[5, 1, 6, 2, 4, 3, 7, 0]",8
simulated_annealing,0.02470111846923828,"(100.0, 0.01, 0.99, False)","[1, 3, 4, 6, 7, 0, 2, 5]",8
simulated_annealing,0.028518199920654297,"(100.0, 0.01, 0.99, False)","[4, 5, 1, 7, 6, 2, 0, 3]",8
simulated_annealing,0.022124052047729492,"(100.0, 0.01, 0.99, False)","[0, 2, 7, 6, 4, 3, 5, 1]",8
simulated_annealing,0.02189040184020996,"(100.0, 0.01, 0.99, False)","[0, 5, 1, 7, 3, 6, 2, 4]",8
simulated_annealing,0.021203041076660156,"(100.0, 0.01, 0.99, False)","[2, 6, 4, 3, 7, 5, 1, 0]",8
simulated_annealing,0.025603055953979492,"(100.0, 0.01, 0.99, False)","[0, 3, 2, 5, 7, 1, 6, 4]",8
simulated_annealing,0.030544042587280273,"(100.0, 0.01, 0.99, False)","[1, 2, 7, 0, 4, 6, 3, 5]",8
simulated_annealing,0.02287912368774414,"(100.0, 0.01, 0.99, False)","[1, 3, 4, 6, 5, 7, 2, 0]",8
simulated_annealing,0.021036863327026367,"(100.0, 0.01, 0.99, False)","[3, 6, 2, 1, 0, 7, 5, 4]",8
simulated_annealing,0.02630758285522461,"(100.0, 0.01, 0.99, False)","[1, 2, 3, 5, 0, 4, 7, 6]",8
simulated_annealing,0.0225069522857666,"(100.0, 0.01, 0.99, False)","[3, 6, 2, 7, 0, 4, 1, 5]",8
simulated_annealing,0.023623943328857422,"(100.0, 0.01, 0.99, False)","[1, 4, 7, 0, 3, 5, 2, 6]",8
simulated_annealing,0.021439075469970703,"(100.0, 0.01, 0.99, False)","[7, 4, 5, 3, 6, 2, 1, 0]",8
simulated_annealing,0.023416519165039062,"(100.0, 0.01, 0.99, False)","[0, 5, 4, 7, 1, 2, 6, 3]",8
simulated_annealing,0.02289128303527832,"(100.0, 0.01, 0.99, False)","[4, 5, 6, 7, 0, 3, 1, 2]",8
simulated_annealing,0.02306389808654785,"(100.0, 0.01, 0.99, False)","[7, 4, 1, 6, 0, 2, 5, 3]",8
simulated_annealing,0.029799222946166992,"(100.0, 0.01, 0.99, False)","[2, 3, 7, 5, 0, 6, 1, 4]",8
simulated_annealing,0.022924184799194336,"(100.0, 0.01, 0.99, False)","[0, 3, 5, 7, 1, 4, 6, 2]",8
simulated_annealing,0.024619340896606445,"(100.0, 0.01, 0.99, False)","[4, 6, 1, 2, 7, 5, 3, 0]",8
simulated_annealing,0.019088029861450195,"(100.0, 0.01, 0.99, False)","[3, 4, 7, 1, 6, 5, 0, 2]",8
simulated_annealing,0.019808530807495117,"(100.0, 0.01, 0.99, False)","[1, 0, 4, 5, 2, 3]",6
simulated_annealing,0.016983747482299805,"(100.0, 0.01, 0.99, False)","[4, 5, 3, 2, 1, 0]",6
simulated_annealing,0.028255462646484375,"(100.0, 0.01, 0.99, False)","[3, 5, 4, 0, 2, 1]",6
simulated_annealing,0.0076563358306884766,"(100.0, 0.01, 0.99, False)","[2, 1, 5, 0, 4, 3]",6
simulated_annealing,0.020300865173339844,"(100.0, 0.01, 0.99, False)","[1, 0, 4, 5, 2, 3]",6
simulated_annealing,0.02053666114807129,"(100.0, 0.01, 0.99, False)","[0, 1, 4, 3, 2, 5]",6
simulated_annealing,0.021953821182250977,"(100.0, 0.01, 0.99, False)","[1, 3, 4, 0, 2, 5]",6
simulated_annealing,0.00859832763671875,"(100.0, 0.01, 0.99, False)","[3, 4, 5, 0, 2, 1]",6
simulated_annealing,0.006410360336303711,"(100.0, 0.01, 0.99, False)","[0, 1, 5, 3, 4, 2]",6
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
simulated_annealing,0.004397153854370117,"(10.0, 0.01, 0.99, False)","[5, 4, 3, 0, 7, 6, 1, 2]",8
simulated_annealing,0.005281686782836914,"(10.0, 0.01, 0.99, False)","[7, 2, 6, 3, 4, 0, 5, 1]",8
simulated_annealing,0.01607370376586914,"(10.0, 0.01, 0.99, False)","[4, 6, 5, 2, 3, 7, 1, 0]",8
simulated_annealing,0.01044917106628418,"(10.0, 0.01, 0.99, False)","[3, 6, 1, 5, 2, 0, 7, 4]",8
simulated_annealing,0.009118080139160156,"(10.0, 0.01, 0.99, False)","[1, 4, 3, 7, 0, 6, 2, 5]",8
simulated_annealing,0.008585453033447266,"(10.0, 0.01, 0.99, False)","[3, 2, 1, 7, 6, 4, 5, 0]",8
simulated_annealing,0.009845495223999023,"(10.0, 0.01, 0.99, False)","[6, 2, 1, 4, 7, 0, 3, 5]",8
simulated_annealing,0.00611114501953125,"(10.0, 0.01, 0.99, False)","[1, 3, 2, 4, 6, 7, 5, 0]",8
neural_network,4.595561742782593,False,"[7, 0, 5, 5, 7, 6, 7, 7]",8,16,10000
genetic,0.025669097900390625,True,"[0, 6, 3, 5, 7, 1, 4, 2]",8,100,1000,0.5
genetic,0.05648922920227051,True,"[7, 1, 3, 0, 6, 4, 2, 5]",8,100,1000,0.5
genetic,0.02194976806640625,True,"[5, 1, 6, 0, 2, 4, 7, 3]",8,100,1000,0.5
genetic,0.007753133773803711,True,"[5, 1, 6, 0, 3, 7, 4, 2]",8,100,1000,0.5
genetic,0.013533592224121094,True,"[7, 3, 0, 2, 5, 1, 6, 4]",8,100,1000,0.5
genetic,0.09766077995300293,True,"[4, 2, 7, 3, 6, 0, 5, 1]",8,100,1000,0.5
genetic,0.004322528839111328,True,"[3, 0, 4, 7, 5, 2, 6, 1]",8,100,1000,0.5
genetic,0.023497581481933594,True,"[2, 4, 1, 7, 0, 6, 3, 5]",8,100,1000,0.5
genetic,0.01584029197692871,True,"[2, 4, 1, 7, 0, 6, 3, 5]",8,100,1000,0.5
genetic,0.00598907470703125,True,"[4, 1, 3, 5, 7, 2, 0, 6]",8,100,1000,0.5
genetic,0.040049076080322266,True,"[5, 3, 6, 0, 7, 1, 4, 2]",8,100,1000,0.5
genetic,0.020969390869140625,True,"[2, 5, 1, 6, 0, 3, 7, 4]",8,100,1000,0.5
genetic,0.013879537582397461,True,"[3, 0, 4, 7, 1, 6, 2, 5]",8,100,1000,0.5
genetic,0.1201014518737793,True,"[6, 3, 1, 4, 7, 0, 2, 5]",8,100,1000,0.5
genetic,0.016258716583251953,True,"[2, 5, 1, 6, 0, 3, 7, 4]",8,100,1000,0.5
genetic,0.023888349533081055,True,"[3, 7, 0, 4, 6, 1, 5, 2]",8,100,1000,0.5
genetic,0.02206730842590332,True,"[1, 3, 5, 7, 2, 0, 6, 4]",8,100,1000,0.5
genetic,0.020327329635620117,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8,100,1000,0.5
genetic,0.01778888702392578,True,"[2, 4, 1, 7, 0, 6, 3, 5]",8,100,1000,0.5
neural_network,4.647761821746826,False,"[2, 6, 7, 5, 1, 3, 0, 7]",8,16,10000
ant_colony,0.019298315048217773,True,"[5, 0, 4, 1, 7, 2, 6, 3]",8,100,1000,1,2,0.01,100.0
ant_colony,0.05616450309753418,True,"[2, 6, 1, 7, 4, 0, 3, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.02124619483947754,True,"[2, 0, 6, 4, 7, 1, 3, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.018129825592041016,True,"[1, 4, 6, 0, 2, 7, 5, 3]",8,100,1000,1,2,0.01,100.0
ant_colony,0.01811504364013672,True,"[6, 1, 3, 0, 7, 4, 2, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.017789602279663086,True,"[1, 5, 0, 6, 3, 7, 2, 4]",8,100,1000,1,2,0.01,100.0
backtracking,0.004034996032714844,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0009968280792236328,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0015020370483398438,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.016503572463989258,True,"[3, 5, 7, 1, 6, 0, 2, 4]",8,100,1000,0.5
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.03462529182434082,True,"[4, 2, 0, 6, 1, 7, 5, 3]",8,100,1000,0.5
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.007998466491699219,True,"[3, 6, 4, 1, 5, 0, 2, 7]",8,100,1000,0.5
backtracking,0.0010890960693359375,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
ant_colony,0.06979918479919434,True,"[2, 6, 1, 7, 4, 0, 3, 5]",8,100,1000,1,2,0.01,100.0
ant_colony,0.02733922004699707,True,"[4, 6, 3, 0, 2, 7, 5, 1]",8,100,1000,1,2,0.01,100.0
ant_colony,0.02918720245361328,True,"[3, 1, 6, 4, 0, 7, 5, 2]",8,100,1000,1,2,0.01,100.0
ant_colony,0.01901841163635254,True,"[4, 1, 3, 5, 7, 2, 0, 6]",8,100,1000,1,2,0.01,100.0
genetic,0.02040386199951172,True,"[5, 3, 6, 0, 2, 4, 1, 7]",8,100,1000,0.5
backtracking,0.003051280975341797,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
genetic,0.07809615135192871,True,"[3, 0, 4, 7, 1, 6, 2, 5]",8,100,1000,0.5
ant_colony,0.023590087890625,True,"[2, 6, 1, 7, 5, 3, 0, 4]",8,100,1000,1,2,0.01,100.0
backtracking,0.0,True,"[0, 4, 7, 5, 2, 6, 1, 3]",8
